GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Alter,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,woechentlicheArbeitszeit,Optimismus,Pessimismus,Schulabschluss,label,GESIS-CODE,Leben genie�en,Ver�rgert,Nerv�s,�ngstlich
GBS+00199,,0,1955.0,61.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1,,,,,
GBS+00232,POSITIV,0,1974.0,42.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,1,,,,,
GBS+00259,,1,1967.0,49.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,7.0,2.0,3.0,1,,,,,
GBS-01709,,1,1965.0,52.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,1,,,,,
GBS-01820,POSITIV,0,1970.0,47.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,1.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,6.0,2.0,5.0,1,,,,,
GBS-03833,,0,1985.0,31.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,4.0,7.0,1.0,5.0,1,,,,,
GBS-04671,,0,1974.0,43.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,6.0,2.0,5.0,1,,,,,
GBS-04771,POSITIV,0,1970.0,47.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,1,,,,,
GBS-04825,,1,1967.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,1,,,,,
GBS-04964,,0,1991.0,26.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,6.0,2.0,5.0,1,,,,,
GBS-06737,,0,1968.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,2.0,1,,,,,
GBS-08013,POSITIV,0,1991.0,26.0,1.0,1.0,2.0,3.0,8.0,2.0,0.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,5.0,4.0,4.0,1,,,,,
GBS-08868,,0,1980.0,37.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,6.0,2.0,4.0,1,,,,,
GBS-09482,NEGATIV,0,1967.0,50.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,7.0,2.0,4.0,1,,,,,
GBS-09510,NEGATIV,0,1997.0,19.0,1.0,1.0,2.0,3.0,8.0,2.0,0.0,1.0,0.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0,3.0,4.0,1,,,,,
GBS-10566,,0,1962.0,55.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,1,,,,,
GBS-11170,NEGATIV,0,1951.0,66.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,7.0,1.0,3.0,1,,,,,
GBS-11954,POSITIV,1,1986.0,31.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,1,,,,,
GBS-12188,,1,1978.0,39.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,6.0,5.0,4.0,1,,,,,
GBS-12449,,0,1962.0,55.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1,,,,,
GBS-12902,,1,1960.0,57.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,1.0,1,,,,,
GBS-13031,NEGATIV,0,1965.0,52.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,6.0,1.0,1,,,,,
GBS-13111,,0,1964.0,52.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,3.0,7.0,1.0,2.0,1,,,,,
GBS-13454,,1,1949.0,68.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,6.0,2.0,5.0,1,,,,,
GBS-13506,NEGATIV,1,1954.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,5.0,2.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,7.0,1.0,2.0,1,,,,,
